"";"municipalities$address";"lon";"lat"
"719";"Zemianska Olča, Komárno, Slovakia";17,8638754;47,8101171
"720";"Zemiansky Vrbovok, Krupina, Slovakia";19,1434308;48,3335011
"721";"Zemplínska Nová Ves, Trebišov, Slovakia";21,6680535;48,5769751
"722";"Zemplínske Hradište, Trebišov, Slovakia";21,7357119;48,5837464
"723";"Žiar, Liptovský Mikuláš, Slovakia";19,6647378;49,1307191
"724";"Žihárec, Šaľa, Slovakia";17,8814197;48,072869
"725";"Žipov, Prešov, Slovakia";21,0853658;48,9661058
"726";"Žitná - Radiša, Bánovce nad Bebravou, Slovakia";18,344387;48,7665273
"727";"Zlaté Klasy, Dunajská Streda, Slovakia";17,4208198;48,1178299
"728";"Zlatníky, Bánovce nad Bebravou, Slovakia";18,1210368;48,7119122
"729";"Žlkovce, Hlohovec, Slovakia";17,7166225;48,4589335
"730";"Zuberec, Tvrdošín, Slovakia";19,614379;49,2605158
"731";"Župkov, Žarnovica, Slovakia";18,6308087;48,5247023
"732";"Abrahám, Galanta, Slovakia";17,6169626;48,2508465
"733";"Abranovce, Prešov, Slovakia";21,3480108;48,9327436
"734";"Andovce, Nové Zámky, Slovakia";18,1067587;47,9939503
"735";"Arnutovce, Spišská Nová Ves, Slovakia";20,4936844;48,9771863
"736";"Babiná, Zvolen, Slovakia";19,0904394;48,4347707
"737";"Bačka, Trebišov, Slovakia";22,0512507;48,443715
"738";"Bacúrov, Zvolen, Slovakia";19,0594703;48,5201713
"739";"Báhoň, Pezinok, Slovakia";17,4447469;48,3082085
"740";"Bajerovce, Sabinov, Slovakia";20,7939207;49,2110676
"741";"Baláže, Banská Bystrica, Slovakia";19,1955365;48,8137294
"742";"Baňa, Stropkov, Slovakia";21,6059077;49,2165691
"743";"Bánovce nad Ondavou, Michalovce, Slovakia";21,8121711;48,685595
"744";"Banské, Vranov nad Topľou, Slovakia";21,5749804;48,8288471
"745";"Bardejov, Bardejov, Slovakia";21,2754012;49,2945857
"746";"Baška, Košice - okolie, Slovakia";21,1806445;48,7073781
"747";"Batizovce, Poprad, Slovakia";20,1854134;49,0753937
"748";"Bátovce, Levice, Slovakia";18,7445651;48,2909126
"749";"Belá, Nové Zámky, Slovakia";18,5958468;47,8316279
"750";"Beladice, Zlaté Moravce, Slovakia";18,2993856;48,3386744
"751";"Belince, Topoľčany, Slovakia";18,0999619;48,4626087
"752";"Beluša, Púchov, Slovakia";18,3278405;49,065522
"753";"Beňadovo, Námestovo, Slovakia";19,3414915;49,4309701
"754";"Benkovce, Vranov nad Topľou, Slovakia";21,7091112;48,9509155
"755";"Beša, Levice, Slovakia";18,4036334;48,144334
"756";"Betlanovce, Spišská Nová Ves, Slovakia";20,3907843;48,9795517
"757";"Biel, Trebišov, Slovakia";22,0550909;48,4077052
"758";"Bílkove Humence, Senica, Slovakia";17,2380938;48,5874844
"759";"Biskupová, Topoľčany, Slovakia";17,9837714;48,4625536
"760";"Blatná Polianka, Sobrance, Slovakia";22,1067228;48,692184
"761";"Blatnica, Martin, Slovakia";18,9246675;48,9395026
"762";"Blhovce, Rimavská Sobota, Slovakia";19,9532188;48,2735963
"763";"Bobrovec, Liptovský Mikuláš, Slovakia";19,6112558;49,1192931
"764";"Bodiná, Považská Bystrica, Slovakia";18,556302;49,1064971
"765";"Bodza, Komárno, Slovakia";17,8300431;47,8342932
"766";"Bohdanovce nad Trnavou, Trnava, Slovakia";17,5450347;48,4294102
"767";"Bohúňovo, Rožňava, Slovakia";20,3845203;48,5137833
"768";"Boľ, Trebišov, Slovakia";21,9414436;48,4716691
"769";"Boliarov, Košice - okolie, Slovakia";21,4303564;48,8030368
"770";"Borcová, Turčianske Teplice, Slovakia";18,8390624;48,9276492
"771";"Borovce, Piešťany, Slovakia";17,7458621;48,5738007
"772";"Bory, Levice, Slovakia";18,7499685;48,1789084
"773";"Bottovo, Rimavská Sobota, Slovakia";20,1504545;48,3122831
"774";"Bratislava - Čunovo, Bratislava V, Slovakia";17,1994899;48,0307363
"775";"Bratislava - Jarovce, Bratislava V, Slovakia";17,1140119;48,0650577
"776";"Bratislava - Petržalka, Bratislava V, Slovakia";17,1115426;48,11087
"777";"Bratislava - Ružinov, Bratislava II, Slovakia";17,1627978;48,1575967
"778";"Bratislava - Záhorská Bystrica, Bratislava IV, Slovakia";17,0387275;48,241632
"779";"Brehy, Žarnovica, Slovakia";18,6513012;48,4052897
"780";"Brestov nad Laborcom, Medzilaborce, Slovakia";21,9375737;49,1143051
"781";"Bretejovce, Prešov, Slovakia";21,2981089;48,8259088
"782";"Brežany, Prešov, Slovakia";21,1115733;48,9784172
"783";"Breznička, Poltár, Slovakia";19,7347017;48,4231291
"784";"Brezov, Bardejov, Slovakia";21,4894158;49,1427714
"785";"Brezovica, Sabinov, Slovakia";20,849736;49,1443984
"786";"Brieštie, Turčianske Teplice, Slovakia";18,7368979;48,9174273
"787";"Brusnica, Stropkov, Slovakia";21,7016266;49,1536313
"788";"Bruty, Nové Zámky, Slovakia";18,5803929;47,9233703
"789";"Bučany, Trnava, Slovakia";17,700311;48,4186727
"790";"Budimír, Košice - okolie, Slovakia";21,3054939;48,7982257
"791";"Budkovce, Michalovce, Slovakia";21,929314;48,6341305
"792";"Bukovce, Stropkov, Slovakia";21,7120263;49,2663993
"793";"Bulhary, Lučenec, Slovakia";19,8480313;48,2936253
"794";"Bušovce, Kežmarok, Slovakia";20,4870088;49,2180698
"795";"Bystrá, Brezno, Slovakia";19,5994343;48,8416401
"796";"Bystričany, Prievidza, Slovakia";18,5100381;48,6604318
"797";"Bzenica, Žiar nad Hronom, Slovakia";18,7417894;48,529017
"798";"Bzovík, Krupina, Slovakia";19,0896916;48,3200002
"799";"Čabalovce, Medzilaborce, Slovakia";21,9640406;49,2290147
"800";"Čachtice, Nové Mesto nad Váhom, Slovakia";17,7866821;48,7121215
"801";"Čakajovce, Nitra, Slovakia";18,0379041;48,3696603
"802";"Čaklov, Vranov nad Topľou, Slovakia";21,6268408;48,9092638
"803";"Čaňa, Košice - okolie, Slovakia";21,3248689;48,607069
"804";"Častkov, Senica, Slovakia";17,3539012;48,747046
"805";"Čavoj, Prievidza, Slovakia";18,4865528;48,8826785
"806";"Čechy, Nové Zámky, Slovakia";18,3723107;48,0345157
"807";"Čeľadice, Nitra, Slovakia";18,2417451;48,3252329
"808";"Čelovce, Veľký Krtíš, Slovakia";19,1432266;48,1832474
"809";"Čereňany, Prievidza, Slovakia";18,4845208;48,6414143
"810";"Čermany, Topoľčany, Slovakia";18,0358777;48,4683284
"811";"Černochov, Trebišov, Slovakia";21,7333763;48,4394108
"812";"Červená Voda, Sabinov, Slovakia";21,0875826;49,1461216
"813";"Červeník, Hlohovec, Slovakia";17,7565253;48,461331
"814";"České Brezovo, Poltár, Slovakia";19,8040281;48,4790603
"815";"Chlebnice, Dolný Kubín, Slovakia";19,4643239;49,229726
"816";"Chmeľová, Bardejov, Slovakia";21,2981102;49,3996721
"817";"Chminianske Jakubovany, Prešov, Slovakia";21,0005936;48,9911385
"818";"Chorvátsky Grob, Senec, Slovakia";17,2915955;48,2280012
"819";"Chrabrany, Topoľčany, Slovakia";18,1426083;48,5324706
"820";"Chrastné, Košice - okolie, Slovakia";21,3483657;48,7918769
"821";"Chtelnica, Piešťany, Slovakia";17,6236671;48,5695959
"822";"Chvojnica, Prievidza, Slovakia";18,5615894;48,8796014
"823";"Čičava, Vranov nad Topľou, Slovakia";21,6653866;48,9237359
"824";"Čierna Lehota, Bánovce nad Bebravou, Slovakia";18,3333849;48,8669879
"825";"Čierne, Čadca, Slovakia";18,8202271;49,4931967
"826";"Čierny Balog, Brezno, Slovakia";19,6555054;48,7471321
"827";"Cífer, Trnava, Slovakia";17,4900401;48,3133734
"828";"Čiližská Radvaň, Dunajská Streda, Slovakia";17,6966086;47,8320173
"829";"Čirč, Stará Ľubovňa, Slovakia";20,9207536;49,282264
"830";"Čremošné, Turčianske Teplice, Slovakia";18,9045667;48,8480322
"831";"Dačov Lom, Veľký Krtíš, Slovakia";19,2490511;48,3265241
"832";"Ďapalovce, Vranov nad Topľou, Slovakia";21,7496296;49,0673809
"833";"Dechtice, Trnava, Slovakia";17,5964376;48,5472808
"834";"Dedinky, Rožňava, Slovakia";20,3817663;48,8674871
"835";"Demjata, Prešov, Slovakia";21,3149382;49,1062941
"836";"Devičany, Levice, Slovakia";18,7073817;48,323554
"837";"Diakovce, Šaľa, Slovakia";17,8423874;48,1357201
"838";"Divina, Žilina, Slovakia";18,6952497;49,2709517
"839";"Dlhá nad Oravou, Dolný Kubín, Slovakia";19,4468589;49,2663041
"840";"Dlhé nad Cirochou, Snina, Slovakia";22,0651546;48,96236
"841";"Dlžín, Prievidza, Slovakia";18,5131395;48,8098537
"842";"Dobroč, Lučenec, Slovakia";19,5667633;48,4752604
"843";"Dohňany, Púchov, Slovakia";18,2880515;49,147192
"844";"Dolinka, Veľký Krtíš, Slovakia";19,1581971;48,089261
"845";"Dolná Mariková, Považská Bystrica, Slovakia";18,3564923;49,207463
"846";"Dolná Streda, Galanta, Slovakia";17,7500814;48,2678336
"847";"Dolná Trnávka, Žiar nad Hronom, Slovakia";18,7884057;48,5612744
"848";"Dolné Kočkovce, Púchov, Slovakia";18,3249379;49,0943992
"849";"Dolné Naštice, Bánovce nad Bebravou, Slovakia";18,2486002;48,6940714
"850";"Dolné Plachtince, Veľký Krtíš, Slovakia";19,3061857;48,2006296
"851";"Dolné Strháre, Veľký Krtíš, Slovakia";19,3912241;48,2476601
"852";"Dolné Zelenice, Hlohovec, Slovakia";17,7468133;48,3745366
"853";"Dolný Harmanec, Banská Bystrica, Slovakia";19,0532445;48,8092421
"854";"Dolný Lieskov, Považská Bystrica, Slovakia";18,4183603;49,0545847
"855";"Dolný Štál, Dunajská Streda, Slovakia";17,716586;47,9363753
"856";"Domaniža, Považská Bystrica, Slovakia";18,5530423;49,0447753
"857";"Drahňov, Michalovce, Slovakia";21,967094;48,5907881
"858";"Dražkovce, Martin, Slovakia";18,9548596;49,0509744
"859";"Drienov, Prešov, Slovakia";21,2707028;48,8731356
"860";"Drietoma, Trenčín, Slovakia";17,9539318;48,8936864
"861";"Drženice, Levice, Slovakia";18,6950557;48,2862465
"862";"Dubnica nad Váhom, Ilava, Slovakia";18,1709914;48,9617553
"863";"Dubodiel, Trenčín, Slovakia";18,1087232;48,7621305
"864";"Dubovce, Skalica, Slovakia";17,2497635;48,7725209
"865";"Dubovica, Sabinov, Slovakia";20,9525556;49,134878
"866";"Dúbravica, Banská Bystrica, Slovakia";19,2717934;48,6777928
"867";"Dudince, Krupina, Slovakia";18,8802611;48,1712613
"868";"Dulovce, Komárno, Slovakia";18,2711737;47,8686826
"869";"Dunajská Streda, Dunajská Streda, Slovakia";17,6206307;47,9916348
"870";"Ďurďoš, Vranov nad Topľou, Slovakia";21,5219013;49,0490143
"871";"Ďurková, Stará Ľubovňa, Slovakia";20,8703226;49,2401649
"872";"Dvorianky, Trebišov, Slovakia";21,7074289;48,7323501
"873";"Egreš, Trebišov, Slovakia";21,6090622;48,6141574
"874";"Fekišovce, Sobrance, Slovakia";22,0849647;48,7710068
"875";"Fiľakovské Kováče, Lučenec, Slovakia";19,7763154;48,2920586
"876";"Frička, Bardejov, Slovakia";21,0871282;49,4025385
"877";"Gabčíkovo, Dunajská Streda, Slovakia";17,576669;47,8924248
"878";"Galovany, Liptovský Mikuláš, Slovakia";19,5331006;49,0719875
"879";"Gbelce, Nové Zámky, Slovakia";18,5093684;47,8502402
"880";"Gemer, Revúca, Slovakia";20,3156347;48,4494364
"881";"Gemerská Poloma, Rožňava, Slovakia";20,4747298;48,7115582
"882";"Gemerské Teplice, Revúca, Slovakia";20,2723787;48,6010555
"883";"Gerlachov, Bardejov, Slovakia";21,1102844;49,3206433
"884";"Girovce, Vranov nad Topľou, Slovakia";21,760608;49,0131788
"885";"Golianovo, Nitra, Slovakia";18,0684997;48,2965398
"886";"Gregorova Vieska, Lučenec, Slovakia";19,5826435;48,3856166
"887";"Gyňov, Košice - okolie, Slovakia";21,3059639;48,5894445
"888";"Háj, Turčianske Teplice, Slovakia";18,8858703;48,8629818
"889";"Hájske, Šaľa, Slovakia";17,8664494;48,2552296
"890";"Haligovce, Stará Ľubovňa, Slovakia";20,4470953;49,3591361
"891";"Hanigovce, Sabinov, Slovakia";21,0176529;49,1733247
"892";"Hankovce, Bardejov, Slovakia";21,4049827;49,2030391
"893";"Harhaj, Bardejov, Slovakia";21,4221537;49,187645
"894";"Hatné, Považská Bystrica, Slovakia";18,384058;49,1860978
"895";"Hažín, Michalovce, Slovakia";22,0194731;48,7518839
"896";"Heľpa, Brezno, Slovakia";19,9693394;48,8606744
"897";"Hendrichovce, Prešov, Slovakia";21,0006983;49,0214755
"898";"Hertník, Bardejov, Slovakia";21,2373437;49,2073773
"899";"Hladovka, Tvrdošín, Slovakia";19,7578547;49,3691643
"900";"Hlinné, Vranov nad Topľou, Slovakia";21,5803989;48,9531752
"901";"Hnilčík, Spišská Nová Ves, Slovakia";20,5586996;48,8735303
"902";"Hodejov, Rimavská Sobota, Slovakia";19,9964253;48,302178
"903";"Hokovce, Levice, Slovakia";18,8702904;48,1553286
"904";"Holice, Dunajská Streda, Slovakia";17,4848525;47,9958085
"905";"Hontianska Vrbica, Levice, Slovakia";18,7028903;48,13467
"906";"Hontianske Trsťany, Levice, Slovakia";18,8034561;48,2076909
"907";"Horňa, Sobrance, Slovakia";22,2000943;48,7572442
"908";"Horná Lehota, Dolný Kubín, Slovakia";19,4046906;49,2548162
"909";"Horná Poruba, Ilava, Slovakia";18,3050386;48,9410818
"910";"Horná Strehová, Veľký Krtíš, Slovakia";19,4282268;48,279432
"911";"Horná Ves, Žiar nad Hronom, Slovakia";18,9097415;48,6760095
"912";"Horné Dubové, Trnava, Slovakia";17,5636182;48,5202958
"913";"Horné Mýto, Dunajská Streda, Slovakia";17,7543152;48,0104812
"914";"Horné Otrokovce, Hlohovec, Slovakia";17,8817608;48,4901131
"915";"Horné Semerovce, Levice, Slovakia";18,8778822;48,1249896
"916";"Horné Trhovište, Hlohovec, Slovakia";17,8686704;48,4682052
"917";"Horné Zelenice, Hlohovec, Slovakia";17,7568748;48,3869821
"918";"Horný Kalník, Martin, Slovakia";18,970012;49,0334942
"919";"Horný Vadičov, Kysucké Nové Mesto, Slovakia";18,8782266;49,2641829
"920";"Hostice, Rimavská Sobota, Slovakia";20,065864;48,2384006
"921";"Hosťovce, Zlaté Moravce, Slovakia";18,3556977;48,416952
"922";"Hrabičov, Žarnovica, Slovakia";18,6633408;48,5343961
"923";"Hrabovec, Bardejov, Slovakia";21,3775683;49,2745354
"924";"Hrabušice, Spišská Nová Ves, Slovakia";20,4088126;48,975609
"925";"Hradište, Partizánske, Slovakia";18,3722392;48,6814353
"926";"Hraň, Trebišov, Slovakia";21,7884992;48,5446965
"927";"Hrašovík, Košice - okolie, Slovakia";21,3217104;48,7471691
"928";"Hričovské Podhradie, Žilina, Slovakia";18,6221981;49,2214221
"929";"Hrlica, Revúca, Slovakia";20,0507902;48,6284969
"930";"Hrochoť, Banská Bystrica, Slovakia";19,3124482;48,6550038
"931";"Hronsek, Banská Bystrica, Slovakia";19,1559045;48,6504611
"932";"Hronské Kosihy, Levice, Slovakia";18,594987;48,2677876
"933";"Hrubov, Humenné, Slovakia";21,8618035;49,0947066
"934";"Hrušovany, Topoľčany, Slovakia";18,0943658;48,4364585
"935";"Hubina, Piešťany, Slovakia";17,887925;48,6171955
"936";"Hucín, Revúca, Slovakia";20,2982525;48,5644749
"937";"Huncovce, Kežmarok, Slovakia";20,3767737;49,1143917
"938";"Husák, Sobrance, Slovakia";22,2866186;48,6972703
"939";"Hviezdoslavov, Dunajská Streda, Slovakia";17,3481669;48,0674096
"940";"Igram, Senec, Slovakia";17,4620907;48,2856652
"941";"Iliašovce, Spišská Nová Ves, Slovakia";20,5256298;48,9925358
"942";"Iňačovce, Michalovce, Slovakia";22,0290347;48,6982858
"943";"Ipeľský Sokolec, Levice, Slovakia";18,8056619;48,0174469
"944";"Ivanice, Rimavská Sobota, Slovakia";20,2367251;48,3281786
"945";"Iža, Komárno, Slovakia";18,2260565;47,7492276
"946";"Jablonec, Pezinok, Slovakia";17,4464818;48,3341821
"947";"Jablonov nad Turňou, Rožňava, Slovakia";20,6728556;48,5932808
"948";"Jacovce, Topoľčany, Slovakia";18,1340254;48,5929823
"949";"Jakubany, Stará Ľubovňa, Slovakia";20,6949466;49,2465609
"950";"Jakubovany, Sabinov, Slovakia";21,1422773;49,1073428
"951";"Jalovec, Liptovský Mikuláš, Slovakia";19,629548;49,136241
"952";"Jamník, Spišská Nová Ves, Slovakia";20,6637616;48,943649
"953";"Jankovce, Humenné, Slovakia";21,798141;49,0578544
"954";"Janovce, Bardejov, Slovakia";21,3038641;49,1906313
"955";"Jarabina, Stará Ľubovňa, Slovakia";20,6561438;49,3348315
"956";"Jasenie, Brezno, Slovakia";19,4604621;48,8356453
"957";"Jasenovce, Vranov nad Topľou, Slovakia";21,7453361;48,9955484
"958";"Jasov, Košice - okolie, Slovakia";20,9741976;48,6832741
"959";"Jastrabie pri Michalovciach, Michalovce, Slovakia";22,0295477;48,7135969
"960";"Jedľové Kostoľany, Zlaté Moravce, Slovakia";18,4968513;48,4717991
"961";"Jelšovce, Nitra, Slovakia";18,0586926;48,3843993
"962";"Jesenské, Rimavská Sobota, Slovakia";20,0744473;48,3040723
"963";"Jovice, Rožňava, Slovakia";20,5506836;48,6316613
"964";"Jurová, Dunajská Streda, Slovakia";17,5238221;47,9333358
"965";"Kajal, Galanta, Slovakia";17,7908385;48,1831333
"966";"Kalinkovo, Senec, Slovakia";17,2520913;48,0589335
"967";"Kalná Roztoka, Snina, Slovakia";22,3237046;48,9673217
"968";"Kaloša, Rimavská Sobota, Slovakia";20,224525;48,4223313
"969";"Kameňany, Revúca, Slovakia";20,1921737;48,5762477
"970";"Kamenica nad Hronom, Nové Zámky, Slovakia";18,7239986;47,831582
"971";"Kamenná Poruba, Žilina, Slovakia";18,6867015;49,0887859
"972";"Kamienka, Humenné, Slovakia";21,9958567;48,9073553
"973";"Kapišová, Svidník, Slovakia";21,5955432;49,3452286
"974";"Karlová, Martin, Slovakia";18,9012491;48,9605685
"975";"Kátov, Skalica, Slovakia";17,1697109;48,8325321
"976";"Kechnec, Košice - okolie, Slovakia";21,2656651;48,550954
"977";"Kesovce, Rimavská Sobota, Slovakia";20,3539086;48,3738599
"978";"Kľačany, Hlohovec, Slovakia";17,8737096;48,3888657
"979";"Kľak, Žarnovica, Slovakia";18,643656;48,5830029
"980";"Klčov, Levoča, Slovakia";20,6694001;49,0034573
"981";"Klenovec, Rimavská Sobota, Slovakia";19,8901078;48,5970719
"982";"Klížska Nemá, Komárno, Slovakia";17,8200172;47,7520762
"983";"Klubina, Čadca, Slovakia";18,8929601;49,3576409
"984";"Kmeťovo, Nové Zámky, Slovakia";18,27699;48,1677479
"985";"Koceľovce, Rožňava, Slovakia";20,3427783;48,7099766
"986";"Kočín - Lančár, Piešťany, Slovakia";17,6524034;48,5953389
"987";"Kojšov, Gelnica, Slovakia";20,9883233;48,8216427
"988";"Kolačkov, Stará Ľubovňa, Slovakia";20,6286623;49,2621266
"989";"Kolárovo, Komárno, Slovakia";17,9948528;47,918114
"990";"Kolíňany, Nitra, Slovakia";18,1958676;48,3599728
"991";"Komárany, Vranov nad Topľou, Slovakia";21,6372004;48,9209798
"992";"Komjatice, Nové Zámky, Slovakia";18,1700848;48,1571462
"993";"Konrádovce, Rimavská Sobota, Slovakia";19,9046615;48,2993357
"994";"Kopčany, Skalica, Slovakia";17,115198;48,784769
"995";"Kordíky, Banská Bystrica, Slovakia";19,0222315;48,7717766
"996";"Korunková, Stropkov, Slovakia";21,7468134;49,199325
"997";"Košariská, Myjava, Slovakia";17,5967547;48,6706814
"998";"Košice - Barca, Košice IV, Slovakia";21,2653788;48,677026
"999";"Košice - Kavečany, Košice I, Slovakia";21,2058968;48,7754724
"1000";"Košice - Luník IX, Košice II, Slovakia";21,2224101;48,6972038
"1001";"Košice - Poľov, Košice II, Slovakia";21,1935779;48,6648877
"1002";"Košice - Sídlisko KVP, Košice II, Slovakia";21,2148908;48,7164151
"1003";"Košice - Vyšné Opátske, Košice IV, Slovakia";21,2799977;48,7164117
"1004";"Košické Oľšany, Košice - okolie, Slovakia";21,3456711;48,7336356
"1005";"Koškovce, Humenné, Slovakia";21,9550399;49,0476805
"1006";"Kostoľany nad Hornádom, Košice - okolie, Slovakia";21,2417009;48,7979162
"1007";"Kostolná - Záriečie, Trenčín, Slovakia";17,9682698;48,8770499
"1008";"Kostolné Kračany, Dunajská Streda, Slovakia";17,5757657;47,9825071
"1009";"Kotrčiná Lúčka, Žilina, Slovakia";18,8387171;49,2518547
"1010";"Koválov, Senica, Slovakia";17,2820561;48,7027351
"1011";"Kozárovce, Levice, Slovakia";18,5227693;48,3161677
"1012";"Kožuchovce, Stropkov, Slovakia";21,7044586;49,3205941
"1013";"Krajná Poľana, Svidník, Slovakia";21,6883771;49,3649909
"1014";"Krakovany, Piešťany, Slovakia";17,7551104;48,610409
"1015";"Kráľova Lehota, Liptovský Mikuláš, Slovakia";19,7850677;49,0258792
"1016";"Kráľovce, Košice - okolie, Slovakia";21,3297679;48,8035933
"1017";"Kraskovo, Rimavská Sobota, Slovakia";19,9891734;48,5012402
"1018";"Krásno, Partizánske, Slovakia";18,3085591;48,5976863
"1019";"Krásnovce, Michalovce, Slovakia";21,8835326;48,7221999
"1020";"Kravany nad Dunajom, Komárno, Slovakia";18,4844616;47,763816
"1021";"Kremnické Bane, Žiar nad Hronom, Slovakia";18,9067664;48,7362934
"1022";"Krivá, Dolný Kubín, Slovakia";19,4814272;49,2830989
"1023";"Krivoklát, Ilava, Slovakia";18,1661316;49,0447194
"1024";"Krížovany, Prešov, Slovakia";21,0491043;48,982822
"1025";"Krokava, Rimavská Sobota, Slovakia";20,0265616;48,6297793
"1026";"Krtovce, Topoľčany, Slovakia";18,0149296;48,5412706
"1027";"Krušinec, Stropkov, Slovakia";21,6623279;49,2317482
"1028";"Kružná, Rožňava, Slovakia";20,4713749;48,6377754
"1029";"Kuchyňa, Malacky, Slovakia";17,1600155;48,4075493
"1030";"Kuková, Svidník, Slovakia";21,4538905;49,1085103
"1031";"Kunova Teplica, Rožňava, Slovakia";20,3803972;48,6123197
"1032";"Kurimka, Svidník, Slovakia";21,4374851;49,3190062
"1033";"Kúty, Senica, Slovakia";17,0204841;48,6581382
"1034";"Kvačany, Prešov, Slovakia";21,0870597;48,9447773
"1035";"Kyjatice, Rimavská Sobota, Slovakia";20,0119876;48,5301854
"1036";"Kyselica, Dunajská Streda, Slovakia";17,3887509;47,9865044
"1037";"Láb, Malacky, Slovakia";16,9722686;48,3654232
"1038";"Lada, Prešov, Slovakia";21,3577149;49,0438275
"1039";"Ladomerská Vieska, Žiar nad Hronom, Slovakia";18,8757116;48,5758256
"1040";"Lakšárska Nová Ves, Senica, Slovakia";17,1842095;48,57837
"1041";"Lastomír, Michalovce, Slovakia";21,9248382;48,7023191
"1042";"Lažany, Prešov, Slovakia";21,0968062;49,0372209
"1043";"Lednica, Púchov, Slovakia";18,2166546;49,1046496
"1044";"Lehota, Nitra, Slovakia";17,9893964;48,3128281
"1045";"Lehôtka pod Brehmi, Žiar nad Hronom, Slovakia";18,8071263;48,5425893
"1046";"Lemešany, Prešov, Slovakia";21,2717228;48,8513086
"1047";"Lenka, Rimavská Sobota, Slovakia";20,3475229;48,3866048
"1048";"Lesíček, Prešov, Slovakia";21,3842365;48,9176745
"1049";"Leštiny, Dolný Kubín, Slovakia";19,3515501;49,1890823
"1050";"Levice, Levice, Slovakia";18,5984375;48,217424
"1051";"Libichava, Bánovce nad Bebravou, Slovakia";18,1732301;48,6710094
"1052";"Lieskovany, Spišská Nová Ves, Slovakia";20,6025774;48,9281606
"1053";"Liešťany, Prievidza, Slovakia";18,4795316;48,8247671
"1054";"Likavka, Ružomberok, Slovakia";19,3116658;49,0927996
"1055";"Lipníky, Prešov, Slovakia";21,4073696;49,0466452
"1056";"Lipovce, Prešov, Slovakia";20,9523386;49,057254
"1057";"Lipovník, Topoľčany, Slovakia";18,0120875;48,5691471
"1058";"Liptovská Lúžna, Ružomberok, Slovakia";19,3198218;48,9417461
"1059";"Liptovská Štiavnica, Ružomberok, Slovakia";19,3570522;49,0525215
"1060";"Liptovské Kľačany, Liptovský Mikuláš, Slovakia";19,4746995;49,0325604
"1061";"Liptovský Hrádok, Liptovský Mikuláš, Slovakia";19,7275984;49,0397084
"1062";"Liptovský Ondrej, Liptovský Mikuláš, Slovakia";19,7131117;49,0972578
"1063";"Lišov, Krupina, Slovakia";18,8652832;48,226708
"1064";"Livinské Opatovce, Partizánske, Slovakia";18,2314089;48,6487089
"1065";"Lok, Levice, Slovakia";18,4631695;48,1811913
"1066";"Lomné, Stropkov, Slovakia";21,6376578;49,1068358
"1067";"Lopúchov, Bardejov, Slovakia";21,3705331;49,1390646
"1068";"Lovce, Zlaté Moravce, Slovakia";18,3625498;48,4449219
"1069";"Lozorno, Malacky, Slovakia";17,0410434;48,3321716
"1070";"Ľubica, Kežmarok, Slovakia";20,4483321;49,1208838
"1071";"Ľubochňa, Ružomberok, Slovakia";19,1679073;49,1201726
"1072";"Ľubotín, Stará Ľubovňa, Slovakia";20,8771677;49,2620719
"1073";"Lučenec, Lučenec, Slovakia";19,6690601;48,3286673
"1074";"Lúčka, Sabinov, Slovakia";20,9803379;49,1816682
"1075";"Lúčky, Žiar nad Hronom, Slovakia";18,8940841;48,6967864
"1076";"Ľudovítová, Nitra, Slovakia";18,0783512;48,3968607
"1077";"Lukáčovce, Nitra, Slovakia";17,9342127;48,3975578
"1078";"Lukov, Bardejov, Slovakia";21,0812577;49,2918991
"1079";"Lupoč, Lučenec, Slovakia";19,5412042;48,3601826
"1080";"Ľutov, Bánovce nad Bebravou, Slovakia";18,282753;48,7784737
"1081";"Lysá pod Makytou, Púchov, Slovakia";18,1924131;49,1958445
"1082";"Mad, Dunajská Streda, Slovakia";17,6589619;47,953683
"1083";"Majere, Kežmarok, Slovakia";20,376866;49,3975071
"1084";"Malá Čalomija, Veľký Krtíš, Slovakia";19,2302405;48,0850933
"1085";"Malá Franková, Kežmarok, Slovakia";20,3043964;49,3139655
"1086";"Malá Lodina, Košice - okolie, Slovakia";21,1333252;48,8780599
"1087";"Malá Tŕňa, Trebišov, Slovakia";21,682342;48,4559752
"1088";"Malatiná, Dolný Kubín, Slovakia";19,4312734;49,1867433
"1089";"Malé Borové, Liptovský Mikuláš, Slovakia";19,5328462;49,2273309
"1090";"Malé Kosihy, Nové Zámky, Slovakia";18,7495918;47,9235745
"1091";"Malé Leváre, Malacky, Slovakia";16,9704326;48,5019715
"1092";"Malé Ripňany, Topoľčany, Slovakia";17,9826053;48,4783341
"1093";"Malé Vozokany, Zlaté Moravce, Slovakia";18,3978353;48,3094648
"1094";"Malinová, Prievidza, Slovakia";18,6168105;48,8536841
"1095";"Malý Cetín, Nitra, Slovakia";18,1762125;48,2368587
"1096";"Malý Lapáš, Nitra, Slovakia";18,1809897;48,301324
"1097";"Malý Slivník, Prešov, Slovakia";21,2590006;49,118287
"1098";"Marcelová, Komárno, Slovakia";18,2899025;47,7901435
"1099";"Markovce, Michalovce, Slovakia";21,8465334;48,5932955
"1100";"Martin, Martin, Slovakia";18,919022;49,0616594
"1101";"Martovce, Komárno, Slovakia";18,128085;47,8566539
"1102";"Matiaška, Vranov nad Topľou, Slovakia";21,5819054;49,0619163
"1103";"Matúškovo, Galanta, Slovakia";17,7326859;48,1677766
"1104";"Medveďov, Dunajská Streda, Slovakia";17,6610924;47,7991115
